iter	Passed	Remaining
0	19	3440
1	35	3181
2	51	3046
3	71	3132
4	86	3027
5	100	2918
6	114	2840
7	129	2788
8	144	2747
9	159	2707
10	173	2658
11	187	2628
12	199	2560
13	210	2494
14	220	2426
15	232	2383
16	243	2337
17	254	2290
18	265	2251
19	277	2217
20	287	2178
21	297	2138
22	309	2109
23	319	2074
24	331	2054
25	342	2030
26	352	1999
27	363	1975
28	375	1957
29	386	1933
30	397	1912
31	409	1891
32	419	1867
33	430	1848
34	441	1827
35	452	1811
36	464	1794
37	478	1789
38	490	1772
39	502	1758
40	515	1746
41	527	1733
42	539	1717
43	549	1697
44	557	1673
45	565	1646
46	574	1624
47	581	1599
48	588	1574
49	596	1550
50	604	1528
51	611	1506
52	620	1486
53	627	1464
54	635	1444
55	642	1423
56	649	1402
57	657	1383
58	665	1364
59	672	1345
60	679	1326
61	688	1309
62	696	1294
63	703	1275
64	711	1259
65	719	1242
66	727	1226
67	735	1211
68	743	1195
69	750	1180
70	758	1164
71	766	1149
72	770	1128
73	777	1113
74	785	1099
75	791	1083
76	799	1068
77	806	1055
78	814	1040
79	821	1026
80	829	1013
81	837	1000
82	844	987
83	852	974
84	859	960
85	866	947
86	873	933
87	880	920
88	887	907
89	894	894
90	901	881
91	907	868
92	915	856
93	921	843
94	929	831
95	936	819
96	943	807
97	950	795
98	957	783
99	964	771
100	971	759
101	978	748
102	986	737
103	993	726
104	1000	714
105	1006	702
106	1013	691
107	1020	680
108	1027	669
109	1042	663
110	1057	657
111	1069	649
112	1080	640
113	1088	630
114	1096	619
115	1103	608
116	1110	598
117	1118	587
118	1126	577
119	1134	567
120	1142	556
121	1149	546
122	1158	536
123	1166	527
124	1175	517
125	1182	506
126	1191	497
127	1198	486
128	1206	476
129	1215	467
130	1224	457
131	1232	448
132	1240	438
133	1248	428
134	1256	418
135	1263	408
136	1273	399
137	1281	389
138	1289	380
139	1297	370
140	1305	361
141	1312	351
142	1320	341
143	1328	332
144	1336	322
145	1344	313
146	1351	303
147	1359	293
148	1366	284
149	1375	275
150	1382	265
151	1391	256
152	1400	247
153	1408	237
154	1416	228
155	1424	219
156	1432	209
157	1440	200
158	1449	191
159	1459	182
160	1470	173
161	1478	164
162	1489	155
163	1497	146
164	1506	136
165	1513	127
166	1521	118
167	1529	109
168	1537	100
169	1544	90
170	1553	81
171	1561	72
172	1568	63
173	1576	54
174	1585	45
175	1593	36
176	1602	27
177	1610	18
178	1619	9
179	1626	0
